movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path
Organ,not-released,5.1,540,"['Action', 'Drama', 'Horror']",Two police detectives Numata and Tosaka infiltrate a group of underground black market human organ dealers. Things go haywire during a raid on the group's surgical headquarters.,"['body in a trunk', 'horror directed by woman', 'revenge', 'black market', 'f rated', 'infected wound', 'decomposing body', 'boxing glove', 'vomiting', 'urination']",Kei Fujiwara,"['Kei Fujiwara', 'Kimihiko Hasegawa', 'Natsuyo Kanahama', 'Kei Fujiwara', 'Kei Fujiwara']",Kei Fujiwara,-1996,/title/tt0117258/
Agents of Project Blue Book,not-released,no-rating,0,['Action'],"Welcome back to the 20th century for a story that actually occurred, 100 years in the making. The time before Twitter, Facebook, and The Google. A time when people drank, smoked, and led very short and exciting lives. About two guys from Kansas: one was destined to be President a... Read all","['alien', 'eisenhower', 'project blue book', 'unidentified flying object']",Kevin Davis,"['Jeff Etter', 'William Kircher', 'Tom Sizemore', 'Kevin Davis', 'Kevin Davis']",Kevin Davis,-2024,/title/tt6666578/
Dead Don't Die in Dallas,1 hour 31 minutes,3.8,195,"['Action', 'Comedy', 'Horror']",A miracle pill intended to save the world causes unforeseen side-effects forcing the surviving gays and bible thumpers in a small Texas town to join forces or fall prey to the flesh craving mutants.,"['abandoned building', 'violence', 'gore', 'drag queen', 'transgender', 'hit by a van', 'exploitation film', 'preacher', ""preacher's wife"", 'gay son']",Israel Luna,"['Willam Belli', 'Richard D. Curtin', 'Krystal Summers', 'Israel Luna', 'Israel Luna']",Israel Luna,-2019,/title/tt3195238/
Sarkar Raj,2 hours 5 minutes,6.7,7.6K,"['Action', 'Crime', 'Drama']",An even more powerful gang emerges to wipe out Sarkar from the playground. A power plant proposal becomes a cause for greater political turmoil around him. What happens to the Family?,"['man wears eyeglasses', 'power', 'power plant', 'secret plan', 'mumbai india', 'father son relationship', 'conspiracy', 'assassination', 'sequel', 'returning character killed off']",Ram Gopal Varma,"['Amitabh Bachchan', 'Abhishek Bachchan', 'Aishwarya Rai Bachchan', 'Ram Gopal Varma', 'Prashant Pandey']",Prashant Pandey,-2008,/title/tt0490210/
Honor Up,not-released,2.5,292,"['Action', 'Adventure']",A drug lord's lieutenant struggles to protect his crime family and his own honor after a shootout.,['drug'],Damon Dash,"['Kevin Bennett', 'Damon Dash', ""Cam'ron"", 'Daniel Jenkins', 'Damon Dash']",Damon Dash,-2018,/title/tt7642326/
Garm Wars: The Last Druid,1 hour 32 minutes,4.8,1.3K,"['Action', 'Sci-Fi', 'Thriller']","In a world where clone soldiers from three military tribes are locked in a perpetual battle of air, land and technology, one clone is separated from the battle and finds herself on the run with a group of unlikely companions.",['military'],Mamoru Oshii,"['Mamoru Oshii', 'Gen Urobuchi', 'Lance Henriksen', 'Kevin Durand', 'Mélanie St-Pierre']",Geoffrey Gunn,-2014,/title/tt2504640/
In Her Line of Fire,1 hour 28 minutes,3.6,1.1K,"['Action', 'Drama']","When the Vice President's plane goes down near a remote Pacific island, he is kidnapped by rebel forces and held for ransom. It is up to his female Secret Service agent and a press secretary to infiltrate the camp and save him.","['female protagonist', 'heroine', 'marine', 'combat', 'airplane crash', 'lesbian', 'lesbian kiss', 'guerrillas', 'hostage', 'camp']",Brian Trenchard-Smith,"['Anna Lorenzo', 'Mariel Hemingway', 'David Keith', 'David Millbern', 'Brian Trenchard-Smith']",Paula Goldberg,-2006,/title/tt0487156/
Aap Mujhe Achche Lagne Lage,3 hours,3.1,2.5K,"['Action', 'Drama', 'Romance']","The daughter of a rich criminal industrial tycoon falls in love with a college boy. The tycoon, what a surprise, objects...","['criminal', 'tough guy', 'depression', 'asthma', 'murder', 'despair', 'band', 'domineering father', 'hospital', 'showdown']",Vikram Bhatt,"['Girish Dhamija', 'Sanjeev Duggal', 'Hrithik Roshan', 'Ameesha Patel', 'Kiran Kumar']",Robin Bhatt,-2002,/title/tt0247911/
Heneral Luna,1 hour 58 minutes,7.3,2.1K,"['Action', 'Biography', 'History']","Set during the Philippine-American war, a short-tempered Filipino general faces an enemy more formidable than the American army: his own treacherous countrymen.","['general', 'emilio aguinaldo character', 'army general', 'interview', 'philippines', 'filipino american war', 'philippine flag', 'revolutionary army', 'infighting', 'american in foreign country']",Jerrold Tarog,"['Sumaquel P. Hosalla', 'Pedro Javier', 'John Arcilla', 'Arron Villaflor', 'Mon Confiado']",Henry Francia,-2015,/title/tt4944352/
Commando 3,2 hours 13 minutes,5.7,3K,"['Action', 'Adventure', 'Thriller']",Karan goes to London to stop a terrorist attack on India.,['chase'],Aditya Datt,"['Junaid Wasi', 'Gulshan Devaiah', 'Robin Chaudhary', 'Subhasish Ghosh', 'Aditya Datt']",Darius Yarmil,-2019,/title/tt8983168/
BuyBust,2 hours 7 minutes,5.7,1.9K,"['Action', 'Crime', 'Thriller']",An anti-drug enforcement agency stages a massive drug bust in the slums of Manila.,['drug'],Erik Matti,"['Erik Matti', 'Anne Curtis', 'Brandon Vera', 'Victor Neri', 'Erik Matti']",Anton Santamaria,-2018,/title/tt5938084/
Hot Guys with Guns,1 hour 45 minutes,5.4,405,"['Action', 'Comedy', 'Romance']","If you can imagine Lethal Weapon with Mel Gibson and Danny Glover as younger, hotter ex-boyfriends, you'll have the basis for 'Hot Guys With Guns,' a modern take on the old-fashioned detective story. It's Chinatown meets Boystown.","['male rear nudity', 'male nudity', 'male underwear', 'bare chested male', 'briefs', 'man wrapped in a towel', 'male full rear nudity', 'woman in a bathtub', 'implied male rape', 'private investigator']",Doug Spearman,"['Marc Anthony Samuel', 'Brian McArdle', 'Trey McCurley', 'Doug Spearman', 'Doug Spearman']",Doug Spearman,-2013,/title/tt2719796/
"Sangraal, la spada di fuoco",not-released,3.9,357,"['Action', 'Adventure', 'Fantasy']",A swordsman's wife is murdered by followers of the evil Goddess Rani. He vows vengeance upon the cult and journeys to the Ark of the Templars to get a magic crossbow that will help him accomplish his mission.,"['supernatural power', 'psychotronic film', 'euro trash', 'trash movie', 'z movie', 'exploitation film', 'italian exploitation', 'crossbow', 'magic', 'sword and sorcery']",Michele Massimo Tarantini,"['Piero Regnoli', 'Ted Rusoff', 'Pietro Torrisi', 'Yvonne Fraschetti', 'Mario Novelli']",Michele Massimo Tarantini,-1982,/title/tt0086238/
Home Operation,not-released,no-rating,0,"['Action', 'Drama', 'War']","The story inspired by real events of the emergency evacuation of Chinese nationals and diplomats, but also foreigners, during the war in Yemen in 2015.",[],Yinxi Song,"['Yaqing Zhi', 'Ye Liu', 'Yinxi Song', 'Yinxi Song', 'Yaqing Zhi']",Yinxi Song,-2022,/title/tt15124468/
Divination,not-released,4.1,337,"['Action', 'Thriller']","Supernatural forces collide in 'Divination'. Jason (D'angelo Midili) is a young, successful artist married to the lovely Jessica (Natasha Sims). They're filled with joy at their first pregnancy and the uncanny return of their mysterious friend Dee (Lisa Coronado). But Jason is to... Read all",[],Ben Pohl,"[""D'Angelo Midili"", 'Natasha Sims', 'Lisa Coronado', 'Ben Pohl', 'Ben Pohl']",Ben Pohl,(III) (2011),/title/tt2123174/
Far Out,CA$700 (estimated),7.2,16,"['Action', 'Comedy', 'Crime']",The filmmaker has to go undercover and go through 3 trials in order to take down the mob boss known as Goldberg.,"['mob', 'insanity', 'blood', 'shootout', 'gangster', 'martial arts', 'gun action', 'fight', 'violence', 'death']",Bijan Karim,"['Moe Golkar', 'James Sirois', 'Anant Khehra', 'Bijan Karim', 'Bijan Karim']",Bijan Karim,-2015,/title/tt5024512/
Goma-2,not-released,5,186,"['Action', 'Drama']","A former terrorist has started a lawful career, being a truck driver. On a trip he ignores the warnings given about the mafia, which leads to them setting fire to his truck, which has his wife on board. This has to be avenged.","['wife killed', 'road', 'flashback', 'torture', 'remote control bomb', 'machine gun', 'mafia boss', '1980s', 'truck driver', 'plastic explosive']",José Antonio de la Loma,"['José Antonio de la Loma', 'Carlos Vasallo', 'Margaux Hemingway', 'Lee Van Cleef', 'Jorge Rivero']",Jaime J. Puig,-1984,/title/tt0087350/
