movie title,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,path
Action,"['Action', 'Adventure', 'Thriller']","An agent, sent by the Indian army to observe a terrorist, finds his mission complicated when he discovers undercover agents in his own country.","['one word title', 'action hero', 'chase sequence', 'fight', 'stunts']",Sundar C.,"['Venkat Raghavan', 'D. Suresh', 'Vishal', 'Tamannaah Bhatia', 'Aishwarya Lekshmi']",Sundar C.,/title/tt10955578/
Kilabot sa Makiling,['Action'],,[],Armando Garces,"['Cecilio V. Pamintuan', 'Jose L. Santos', 'Mario Montenegro', 'Lolita Rodriguez', 'Van De Leon']",Bert R. Mendoza,/title/tt0370847/
The Wilderness Night,"['Action', 'Adventure', 'Drama']",A man fights through his own psychological and spiritual madness when his guilty past is shadowed by a religious Cult Leader.,"['faith', 'fallen angel', 'paranormal phenomenon', 'reference to jesus christ', 'reference to god', 'christian', 'demon', 'hell', 'heaven', 'spiritual knight']",Jordan Warner,"['Lisa Heath', ""Michael O'Hear"", 'Jordan Warner', 'Jordan Warner', 'Lisa Heath']",Jordan Warner,/title/tt4820546/
Absolute Deception,"['Action', 'Drama', 'Thriller']","A widowed reporter recruits the help of a federal agent to investigate her late husband's secrets, but the two become the target of unknown attackers.","['murder', 'ozploitation', 'low budget', 'director cameo']",Brian Trenchard-Smith,"['Peter Sullivan', 'Kraig Wenman', 'Cuba Gooding Jr.', 'Emmanuelle Vaugier', 'Evert McQueen']",Jeffrey Schenck,/title/tt2179226/
Fakira,"['Action', 'Drama', 'Thriller']","Vijay helps the poor and robs the rich, while Ajay is assigned the job to bring Vijay to justice. Thirsty for each other's blood, both men are unaware that they are brothers separated at a young age.","['orphan', 'motorcycle', 'ejector seat', 'hitman', 'brother brother reunion', 'held at gunpoint', 'vigilante', 'robber', 'undercover cop', 'catfight']",C.P. Dixit,"['R.K. Bannerjee', 'Dhruva Chatterjee', 'Shashi Kapoor', 'Shabana Azmi', 'Govardhan Asrani']",S.M. Abbas,/title/tt0298327/
You Only Live Once,"['Action', 'Comedy', 'Crime']","A framed con man, Leo (Peter Lanzani) has to impersonate an orthodox Jew in order to escape ruthless killers Duges (Gerard Depardieu), López (Santiago Segura) and Harken (Hugo Silva).","['violence', 'five word title', 'fight', 'explosion', 'killer', 'car chase', 'rabbi']",Federico Cueva,"['Axel Kuschevatzky', 'Peter Lanzani', 'Gérard Depardieu', 'Pablo Rago', 'Federico Cueva']",Sergio Esquenazi,/title/tt0029808/
You Only Live Once,"['Crime', 'Drama', 'Film-Noir']","The public defender's secretary and an ex-convict get married and try to make a life together, but a series of disasters sends their lives spiraling out of control.","['on the run', 'prejudice', 'death sentence', 'miscarriage of justice', 'paranoia', 'injustice', 'tragedy', 'escape from prison', 'prison', 'ex convict']",Fritz Lang,"['C. Graham Baker', 'Sylvia Sidney', 'Henry Fonda', 'Barton MacLane', 'Fritz Lang']",Gene Towne,/title/tt0029808/
Static Codes,"['Action', 'Drama', 'Sci-Fi']","A man's wife was abducted by aliens ten years ago during a car accident which left him paralyzed from the waist down. Given up on life, he has become consumed with only one mission: finding his wife.",[],David M. Parks,"['Augie Duke', 'Sadie Katz', 'Jiaoying Summers', 'David M. Parks', 'David M. Parks']",David M. Parks,/title/tt20518312/
Bring Him Back Dead,['Action'],"A violent gang of criminals is ordered, after a botched heist, to track down and eliminate the man who betrayed them and ran off with their loot. Daniels plays the ""anti-hero,"" while Mandylor plays the leader of the gang and Baldwin a man with mysterious motives.",[],Mark Savage,"['Jeff Miller', 'Louis Mandylor', 'Daniel Baldwin', 'Gary Daniels', 'Mark Savage']",Ben Demaree,/title/tt14385300/
Geronimo,"['Action', 'Biography', 'History']","In 1880s Arizona, General Crook and his troops are trying to subdue the last tribe of Apache led by Geronimo.","['chiricahua apache', 'scout', 'san carlos arizona', 'arizona desert', 'desert', 'reference to cochise', 'cochise', 'sonora mexico', 'saloon', 'gunshot wound']",Arnold Laven,"['Arnold Laven', 'Chuck Connors', 'Kamala Devi', 'Pat Conway', 'Arnold Laven']",Pat Fielder,/title/tt0056016/
