movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path,Popularity,Votes,Adult,Poster Image,Runtime,Taglines
How the West Was Won,"$15,000,000 (estimated)",7,21K,['Western'],"A family saga covering several decades of Westward expansion in the 19th century, including the Gold Rush, the Civil War, and the building of the railroads.","['lebensraum', 'expansionism', 'imperialism', 'manifest destiny', 'ulysses s. grant character', 'abraham lincoln character', 'national film registry', 'arizona territory', 'arizona desert', 'territory', 'river', 'settler', 'caravan', 'epic', 'frontier', 'outlaw', 'native american', 'colonisation', 'family', 'riverboat']",John Ford,"['George Marshall', 'James R. Webb', 'John Gay', 'James Stewart', 'John Wayne']",Henry Hathaway,-1962,/title/tt0056085/,31.711,390.0,False,http://image.tmdb.org/t/p/w500/8skxwfZEige3QdnlrHFi2Ls31iO.jpg,162.0,It's here! The mightiest adventure ever filmed!
The Indian Fighter,1 hour 28 minutes,6.3,2.6K,['Western'],A scout leading a wagon train through hostile Indian country unwittingly gets involved with a Sioux chief's daughter.,"['u.s. cavalry officer', ""red cloud's war"", 'native american', 'romantic triangle', 'bare chested male', 'manipulative female', 'possessive female', 'wild west', '1800s', '19th century', 'sioux', 'native american', 'wagon train', 'sioux chief', 'technicolor']",André De Toth,"['Frank Davis', 'Ben Hecht', 'Kirk Douglas', 'Elsa Martinelli', 'Walter Matthau']",Robert L. Richards,-1955,/title/tt0048204/,10.958,62.0,False,http://image.tmdb.org/t/p/w500/reWmkD0D2QGYivWZ5Lv9pVC75CS.jpg,88.0,Only one man has the power to stop a war.
Guns of the Timberland,not-released,5.5,432,['Western'],Feud between ranchers and lumberjacks over the issue of environment protection versus profits.,"['rancher', 'lumberjack', 'feud', 'land rights', 'guns of the west', 'based on novel', 'government contract', 'dynamite explosion', 'fighting a forest fire', 'ranch foreman', 'shootout', 'lumberjack']",Robert D. Webb,"['Joseph Petracca', 'Aaron Spelling', 'Alan Ladd', 'Jeanne Crain', 'Gilbert Roland']",Louis L'Amour,-1960,/title/tt0053884/,2.346,8.0,False,http://image.tmdb.org/t/p/w500/8PKhasSgn6CXQQOUxRpko1PPj3R.jpg,91.0,The land of the towering timber THUNDERS with Sky-High Adventure!
The Oklahoman,not-released,6.3,500,['Western'],"A doctor stops in a small Southwestern town to bury his wife. He decides to stay there and start a practice, but soon runs into violent cattle ranchers.","['doctor', 'covered wagon', 'oklahoma territory', 'year 1870', 'baby', 'baby girl', 'church bells', ""1870's"", 'timeframe 1870s', 'death of mother', 'oklahoma', 'gunfight', 'widower', 'land owner']",Francis D. Lyon,"['Joel McCrea', 'Barbara Hale', 'Brad Dexter', 'Francis D. Lyon', 'Daniel B. Ullman']",Daniel B. Ullman,-1957,/title/tt0050797/,3.699,11.0,False,http://image.tmdb.org/t/p/w500/oC7IVUDeLP3KXb7N4I9R0CpnNC6.jpg,80.0,That Ramrod Guy From Whichita is Bullet-Hot as the Greatest Plainsman of Them All !
The Arizona Ranger,not-released,6.3,164,['Western'],Bob Morgan returns home but alienates his father by not staying at his ranch. Instead he becomes the head of the new Arizona Rangers. Matters get worse between father and son when when his father catches a man he believes to be a murderer and Bob breaks up his lynching party. Whe... Read all,"['arizona ranger', 'arizona territory', 'reconciliation', 'jailbreak', 'spanish american war veteran', 'jail', 'death', 'murder', 'hanging tree', 'frontier justice', 'arizona', 'ranch', 'rangers']",John Rawlins,"['Tim Holt', 'Jack Holt', 'Nan Leslie', 'John Rawlins', 'Norman Houston']",Norman Houston,-1948,/title/tt0040113/,1.506,4.0,False,http://image.tmdb.org/t/p/w500/g8hOylE5D8cOtwlObJbPpLWqrJP.jpg,64.0,FAMOUS JACK - Vetern King of Sction Stars! FIGHTING TIM -Trigger-Ace of the West Today! TOGETHER FOR TWICE THE THRILLS - In their greatest screen adventure!
Last Train from Gun Hill,"$2,500,000",7.3,7.8K,['Western'],"A marshal tries to bring the son of an old friend, an autocratic cattle baron, to justice for his role in the rape and murder of the marshal's Native American wife.","['monogrammed saddle', 'rape and revenge', 'rape', 'revenge', 'conflict between friends', 'father son relationship', 'rape of a woman', 'knocked out', 'marshal', 'old friends']",John Sturges,"['James Poe', 'Kirk Douglas', 'Anthony Quinn', 'Carolyn Jones', 'John Sturges']",Les Crutchfield,-1959,/title/tt0052993/,12.9,168.0,False,http://image.tmdb.org/t/p/w500/hXbBkFAcJZBHH629Kj4Ujrq1r2l.jpg,98.0,"Now...from the star, the director and the producer of 'Gunfight at the O.K. Corral'"
The Outcasts of Poker Flat,not-released,5.9,205,['Western'],"A California mining camp is plagued by a series of murders. Four people come under suspicion for the killings and are run out of the camp. During a blizzard they take refuge in an isolated cabin, and conflicts begin to break out among them.","['prospector', 'orphan', 'outlaw', 'gambler', 'dance hall girl']",Christy Cabanne,"['John Twist', 'Harry Segall', 'Preston Foster', 'Jean Muir', 'Van Heflin']",Bret Harte,-1937,/title/tt0029361/,2.765,7.0,False,http://image.tmdb.org/t/p/w500/jsud3TSbBFcdF9UdfxMjowbGfwO.jpg,81.0,Bret Harte's brawling epic of the frontier !
The Great Silence,1 hour 45 minutes,7.7,16K,['Western'],"A mute gunfighter defends a young widow and a group of outlaws against a gang of bounty killers in the winter of 1898, and a grim, tense struggle unfolds.","['spaghetti western', 'snow', 'small town', 'nudity', 'interracial sex', 'revisionist western', 'italo western', 'mute', 'winter', 'bar shootout', 'gunslinger', 'sadistic', 'sheriff', 'bounty hunter', 'winter', 'repayment', 'saloon', 'robber', 'sadness', 'hunger', 'anti hero', 'capitalist', 'self-defense', 'mountain village', 'rocky mountains', 'dying and death', 'coldness', 'provocation', 'desolateness', 'greed', 'childhood trauma', 'spaghetti western']",Sergio Corbucci,"['Vittoriano Petrilli', 'Mario Amendola', 'Jean-Louis Trintignant', 'Klaus Kinski', 'Frank Wolff']",Sergio Corbucci,-2020,/title/tt4255196/,15.831,348.0,False,http://image.tmdb.org/t/p/w500/3kpxS7SZMyYSXvhDnmxQXOOxiTM.jpg,106.0,His voice was the silence of death!
Trooper Hook,not-released,6.6,851,['Western'],"When Apache chief Nanchez is captured by the cavalry, his white squaw and infant son are returned to civilization by Sergeant Hook, but Nanchez escapes custody and attempts to re-claim his son.","['arizona', 'character name as title', 'surname in title', 'two word title', 'shackles', 'marriage proposal', 'stage coach journey', 'sergeant', 'escape', 'squaw', 'based on novel or book', 'horse']",Charles Marquis Warren,"['David Victor', 'Martin Berkeley', 'Joel McCrea', 'Barbara Stanwyck', 'Earl Holliman']",Jack Schaefer,-1957,/title/tt0051111/,3.609,15.0,False,http://image.tmdb.org/t/p/w500/rVXjTAgSQdRWeWpuCwmlZiVjGBg.jpg,81.0,"""Go Ahead and Hate Me, Hook Because I Saved Myself from Apache Torture...Because I Gave Their Chief a Son!"""
Murder at Yellowstone City,not-released,5.2,100,['Western'],"A former slave arrives in Yellowstone City, Montana, a desolate former boomtown now on the decline, looking for a place to call home. On that same day, a local prospector discovers gold - and is murdered.",[],Richard Gray,"['Isaiah Mustafa', 'Zach McGowan', 'Thomas Jane', 'Richard Gray', 'Eric Belgau']",Eric Belgau,-2022,/title/tt11552344/,11.361,56.0,False,http://image.tmdb.org/t/p/w500/58UKdNFfSSvx8TuecGAzqja3NTZ.jpg,126.0,"In a town of suspects, one man stands accused."
Big Jake,1 hour 50 minutes,7.1,13K,['Western'],"In 1909, when John Fain's gang kidnaps Jacob McCandles' grandson and holds him for ransom, Big Jake sets out to rescue the boy.","['texas ranger', 'rifle', 'geronimo', 'gunfighter', 'year 1909', 'rio grande', 'reference to william howard taft', 'grandfather grandson relationship', 'bar shootout', 'showdown', 'texas', 'kidnapping', 'ranch', 'cigar smoking', 'double barreled shotgun']",George Sherman,"['Harry Julian Fink', 'Rita M. Fink', 'John Wayne', 'Richard Boone', ""Maureen O'Hara""]",John Wayne,-1971,/title/tt0066831/,15.674,193.0,False,http://image.tmdb.org/t/p/w500/wcmxYNuM9akm0Qjs86quqMAUX6C.jpg,110.0,They wanted gold. They gave them lead instead!
Cattle Drive,not-released,6.5,676,['Western'],A cowboy finds the spoiled son of a railroad magnate lost in the deserted hills and teaches him survival skills and hard work values.,"['chuck wagon cook', 'two horse race', 'black stallion', 'coming of age', 'missing son', 'cattle stampede', 'trail ride', 'horse drawn covered wagon', 'strawberries', 'baked beans', 'cheating', 'spoiled child', 'cattle drive', 'coming of age', 'young boy', 'desert', 'cowboy', 'wild horse', 'brat', 'missing son', 'cattle stampede', 'father son relationship', 'baked beans']",Kurt Neumann,"['Lillie Hayward', 'Joel McCrea', 'Dean Stockwell', 'Chill Wills', 'Kurt Neumann']",Jack Natteford,-1951,/title/tt0043389/,3.912,12.0,False,http://image.tmdb.org/t/p/w500/kgYYRZKtHVeGltkvVPhP7lWxAEd.jpg,77.0,The Story of the Great Santa Fe Stampede!
Man Without a Star,1 hour 29 minutes,6.8,3.4K,['Western'],Sharpshooting drifter Dempsey Rae comes back to Wyoming to work for beautiful rancher Reed Bowman. But Reed's plan to fence in her land's wide open spaces angers other ranchers and soon embroils Dempsey in a bloody range war.,"['wyoming', 'cattle ranch', 'female rancher', 'based on novel', '1880s', 'title appears in song', 'title same as book', 'fight on train roof', 'private property', 'land ownership', 'ranch', 'drifter', 'homestead', 'technicolor']",King Vidor,"['D.D. Beauchamp', 'Dee Linford', 'Kirk Douglas', 'Jeanne Crain', 'Claire Trevor']",Borden Chase,-1955,/title/tt0048340/,10.361,90.0,False,http://image.tmdb.org/t/p/w500/oiLRunFsrftkOoy7hhAZM727gIv.jpg,89.0,A love-bargain is like barbed-wire...fight it and you'll get hurt!
